( custom_0027 "Exactly which options are available depends on the action taken by the previous players ." )
( custom_0652 "An opponent of the dealer accepts by saying `` I order it up . ''" )
( custom_0611 "In the 1830s , the game was refined further and became known as Poker ." )
( custom_0494 "Players hold the remainder of their deck in one of their hands during play ." )
( custom_0159 "The goal is to get all eight foundations built up from ace through king ." )
( custom_0095 "Turn over the top cards of each pile so that they are face up ." )
( custom_0093 "If no one accepts the potential discard , you keep it in your hand ." )
( custom_0089 "To win a Hand by scoring the most points by melds to the table ." )
( custom_0068 "( This happens frequently in a two-player game and rarely with more players . )" )
( custom_0062 "Work piles are built in descending order , alternating color , overlapping the cards ." )
( custom_0059 "You can only move cards within your own tableau and into the common area ." )
( custom_0048 "Red Book - All natural cards , no Wild cards ( 500 Points ) ." )
( custom_0638 "The game is best for four participants , playing two against two as partners ." )
( custom_0602 "As a popular home game , it is played with slightly different rules ." )
( custom_0547 "The player holding the 2 of clubs after the pass makes the opening lead ." )
( custom_0481 "All the melds of a partnership are placed in front of either partner ." )
( custom_0418 "Each player settles with every other player on the difference in their final scores ." )
( custom_0415 "A scorekeeper must be appointed to record the bids and enter the results ." )
( custom_0388 "A player bidding Nap and failing to take five tricks must double the pool ." )
( custom_0205 "The highest bidder then either names a trump suit or chooses 'no trump ' ." )
( custom_0147 "When the declarer makes a doubled contract , a premium bonus is scored ." )
( custom_0132 "The lowest possible bid is one , and the highest possible bid is seven ." )
( custom_0117 "For example , if there are five players , each player gets five cards ." )
( custom_0076 "Then , have each pair meet to determine a secret , subtle signal ." )
( custom_0067 "Be sure to keep the cards in the same order when you do so ." )
( custom_0060 "If there is a tie which can not be resolved , both cards stay ." )
( custom_0033 "Betting on the flop begins with the active player immediately clockwise from the button ." )
( custom_0688 "Continue to transfer cards on top of each other in the tableau in sequence ." )
( custom_0643 "Many Euchre games are scored by rubber points , as in Whist ." )
( custom_0637 "Violation of this principle could eventually turn pleasant sessions into unpleasant ones ." )
( custom_0629 "58 players : Any form of Poker , either Draw or Stud ." )
( custom_0627 "A maximum limit is put on the number of chips any player may lose ." )
( custom_0608 "Note that the dealer does not have the option of splitting or doubling down ." )
( custom_0496 "Players immediately begin playing their cards from their layout onto the center piles ." )
( custom_0484 "Bonuses for red threes and canastas do not count toward the minimum ." )
( custom_0448 "It is customary for each player with fewer cards to ante one additional chip ." )
( custom_0417 "( As yet there is no standard for scoring of `` Zero '' bids ." )
( custom_0377 "Ten piles of four cards each , dealt by rows , all face up ." )
( custom_0356 "Four cards played ( including the card led ) constitute a trick ." )
( custom_0349 "( In drawing for partners and deal , however , ace is low . )" )
( custom_0310 "Before every hand , players put one chip each into a pot ." )
( custom_0194 "The standard 52-card deck , sometimes with the addition of one or two jokers ." )
( custom_0139 "There is no particular order for placing the suits down in a No-trump bid ." )
( custom_0109 "The dealer will deal six cards to each player , three at a time ." )
( custom_0086 "If the said card is of no interest , the player passes without discarding ." )
( custom_0042 "The topmost card of the Stock pile is turned face-up as a discard pile ." )
( custom_0037 "Hand and Foot uses five to six decks of cards with Jokers ." )
( custom_0636 "Of course , any such house rules should be written down ." )
( custom_0613 "The odds on being dealt this hand are 1 in almost 650,000 ." )
( custom_0540 "At that point , play stops and their tricks are counted ." )
( custom_0532 "They may count the dix and make another meld in the same turn ." )
( custom_0300 "However , you must still add to the pot when other players do ." )
( custom_0292 "Rank of spot cards is different in red and black suits ." )
( custom_0219 "Anytime someone lays down a joker , the pile can be slapped ." )
( custom_0204 "Each player in turn must either bid higher than the previous bid or pass ." )
( custom_0054 "The common area is where the foundations will be placed and built on ." )
( custom_0034 "The river is the fifth and final community card in a Hold'em game ." )
( custom_0025 "Five community cards are dealt face-up , to form the board ." )
( custom_0021 "An example is 10 , 10 , K , 4 , 3 ." )
( custom_0011 "When all players have played one card , the first trick is complete ." )
( custom_0639 "Therefore , the rules for the four-hand version are given first ." )
( custom_0632 "Poker players are increasingly adding one or both jokers as wild cards ." )
( custom_0605 "Face cards are 10 and any other card is its pip value ." )
( custom_0573 "Alternatively , the spaces may be filled with any movable unit ." )
( custom_0556 "Only a king may fill an open space in the layout ." )
( custom_0545 "The game is usually played to 100 points ( some play to 50 ) ." )
( custom_0539 "At any time during the play , a player may `` declare out . ''" )
( custom_0529 "The non-dealer leads ; thereafter the winner of each trick leads next ." )
( custom_0509 "Play ends as soon as any player plays their last card ." )
( custom_0500 "Often several dozen cards can be played before all players get stuck ." )
( custom_0487 "A player may not ask `` Partner , may I go out ? ''" )
( custom_0386 "A player who can not follow suit may trump or discard at will ." )
( custom_0373 "Usually , every pile will have a picture card on top ." )
( custom_0341 "The winner collects the point value of their hand from every opponent ." )
( custom_0319 "Play continues until there is only one player left , who is the winner ." )
( custom_0271 "The third and all subsequent wins are scored in all three games ." )
( custom_0263 "Thus , the object is always to fulfill the bid exactly . )" )
( custom_0167 "The player must separate these cards from the other two , which they discard ." )
( custom_0153 "The player 's turn continues so long as the player receives the card requested ." )
( custom_0144 "A little below the middle of the score sheet is a horizontal line ." )
( custom_0140 "A trick containing a trump is won by the hand playing the highest trump ." )
( custom_0074 "First , ensure that you have an even number of people ." )
( custom_0029 "That player has the option to fold , call or raise ." )
( custom_0024 "Every player is dealt two cards , for their eyes only ." )
( custom_0010 "This game uses 35 cards from a standard 52 card deck ." )
( custom_0000 "Once someone does , everyone tries to grab a spoon ." )
( custom_0687 "The foundations get built by suit and in sequence from ace to king ." )
( custom_0670 "The cards rank from ace ( high ) to two ( low ) ." )
( custom_0668 "Some cards will be dealt and the rest will form the stock pile ." )
( custom_0630 "All of the Poker variations are described later in this chapter ." )
( custom_0622 "Bluffing is one of the key reasons why Poker is so popular ." )
( custom_0620 "There are usually two or more betting intervals for each Poker deal ." )
( custom_0612 "A variation - Stud Poker - appeared at about the same time ." )
( custom_0601 "Baccarat is known in some areas as Punto Banco ." )
( custom_0597 "Play proceeds in the same manner until all the cards have been matched ." )
( custom_0579 "It does not matter if some players have more cards than others ." )
( custom_0565 "Play a higher card than any previously played , if possible ." )
( custom_0498 "This race to play out the cards can get very exciting !" )
( custom_0479 "Jokers and deuces may never be melded apart from natural cards ." )
( custom_0463 "After making a move , the deal is then resumed ) ." )
( custom_0434 "Each player attempts to make the highest bid and then fulfill it ." )
( custom_0290 "Game is won by the first player or side to reach 51 points ." )
( custom_0273 "The side that scores 7 game points first , wins ." )
( custom_0256 "The players then pick up their cards and arrange them by suits ." )
( custom_0217 "Double When two cards of equivalent value are laid down consecutively ." )
( custom_0190 "Because of the stripped deck , a flush beats a full house ." )
( custom_0160 "Two standard 52-card packs are used and they are shuffled together ." )
( custom_0090 "To win a Game by winning the most total points across 7 hands ." )
( custom_0085 "The deck is spread out on the table and each player takes a card ." )
( custom_0077 "This signal needs to be non-verbal and nothing too obvious ." )
( custom_0055 "A player whose Nerts pile is exhausted may call `` Nerts ! ''" )
( custom_0052 "When a player goes out , it marks the end of the round ." )
( custom_0044 "A Meld belongs to the team , and not any individual player ." )
( custom_0043 "It can not have less than three cards or more than seven cards ." )
( custom_0020 "An example is 9 , 8 , 7 , 6 , 5 ." )
( custom_0012 "The cards played are not gathered in but remain in a face up pile ." )
( custom_0690 "Skills Developed Matching , pairing , and recognizing numbers ." )
( custom_0650 "The cut must not leave less than four cards in each packet ." )
( custom_0635 "Sometimes the joker is included as a fifth wild card ." )
( custom_0609 "A bet once paid and collected is never returned ." )
( custom_0541 "If the claimant has fewer than 1,000 points , they lose the game ." )
( custom_0535 "In this count , 7 points or more count as 10 ." )
( custom_0527 "The remainder of the pack forms the stock and is placed face down ." )
( custom_0518 "Each player except the pitcher scores whatever points they make ." )
( custom_0517 "Usually a score is kept with pencil and paper ." )
( custom_0513 "The suit of the card `` pitched '' indicates the trump suit ." )
( custom_0493 "The side that first reaches a total of 5,000 wins a game ." )
( custom_0492 "( Customarily , the columns are marked We and They . )" )
( custom_0490 "A player does not have to take the discard to form a new meld ." )
( custom_0480 "( But see restrictions on `` Going Out '' . )" )
( custom_0445 "Only the outermost card of each row is available for transfer ." )
( custom_0371 "Thus , the eight of spades may be placed on the five of spades ." )
( custom_0325 "Any player , before discarding , may knock , ending the hand ." )
( custom_0288 "Thus , either the bidding or the non-bidding side may score ." )
( custom_0270 "The second hand won is scored in Games 1 and 2 ." )
( custom_0257 "Each player decides how many tricks they will be able to take ." )
( custom_0218 "For this rule , an ace counts as one ." )
